squad,metric,mean,median,std
Leicester City,per90_g_minus_pk,0.061,0.0,0.089
Leicester City,per90_g_a_minus_pk,0.116,0.05,0.133
Liverpool,minutes,1704.455,1823.5,1045.409
Liverpool,min_90s,18.945,20.25,11.622
Liverpool,gls,3.864,1.0,6.511
Liverpool,ast,2.955,2.0,3.831
Liverpool,g_plus_a,6.818,3.5,10.12
Liverpool,g_minus_pk,3.455,1.0,5.034
Liverpool,pk,0.409,0.0,1.875
Liverpool,pkatt,0.409,0.0,1.875
Liverpool,crdy,3.045,2.5,2.345
Liverpool,crdr,0.136,0.0,0.343
Liverpool,per90_gls,0.164,0.06,0.214
Liverpool,per90_ast,0.142,0.135,0.139
Liverpool,per90_g_a,0.305,0.175,0.326
Liverpool,per90_g_minus_pk,0.153,0.06,0.187
Liverpool,per90_g_a_minus_pk,0.294,0.175,0.297
Manchester City,minutes,1498.6,1674.0,836.332
Manchester City,min_90s,16.648,18.6,9.288
Manchester City,gls,2.84,1.0,4.496
Manchester City,ast,2.04,0.0,2.615
Manchester City,g_plus_a,4.88,3.0,5.443
Manchester City,g_minus_pk,2.72,1.0,3.995
Manchester City,pk,0.12,0.0,0.588
Manchester City,pkatt,0.16,0.0,0.784
Manchester City,crdy,2.36,2.0,1.741
Manchester City,crdr,0.08,0.0,0.271
Manchester City,per90_gls,0.176,0.12,0.218
Manchester City,per90_ast,0.1,0.0,0.133
Manchester City,per90_g_a,0.276,0.27,0.242
Manchester City,per90_g_minus_pk,0.172,0.12,0.209
Manchester City,per90_g_a_minus_pk,0.272,0.27,0.234
Manchester Utd,minutes,1248.667,1113.0,940.833
Manchester Utd,min_90s,13.87,12.35,10.452
Manchester Utd,gls,1.4,0.0,2.304
Manchester Utd,ast,0.967,0.0,2.105
Manchester Utd,g_plus_a,2.367,0.5,4.151
Manchester Utd,g_minus_pk,1.267,0.0,2.081
Manchester Utd,pk,0.133,0.0,0.562
Manchester Utd,pkatt,0.133,0.0,0.562
Manchester Utd,crdy,2.867,2.5,2.591
Manchester Utd,crdr,0.1,0.0,0.396
Manchester Utd,per90_gls,0.072,0.0,0.11
Manchester Utd,per90_ast,0.042,0.0,0.079
Manchester Utd,per90_g_a,0.115,0.015,0.174
Manchester Utd,per90_g_minus_pk,0.067,0.0,0.107
Manchester Utd,per90_g_a_minus_pk,0.109,0.015,0.165
Newcastle United,minutes,1632.0,1755.0,1106.389
Newcastle United,min_90s,18.13,19.5,12.286
Newcastle United,gls,2.87,0.0,5.093
Newcastle United,ast,2.174,1.0,2.899
Newcastle United,g_plus_a,5.043,2.0,7.238
Newcastle United,g_minus_pk,2.652,0.0,4.4
Newcastle United,pk,0.217,0.0,0.832
Newcastle United,pkatt,0.261,0.0,0.895
Newcastle United,crdy,2.957,2.0,3.237
Newcastle United,crdr,0.043,0.0,0.204
Newcastle United,per90_gls,0.143,0.0,0.215
Newcastle United,per90_ast,0.1,0.03,0.121
Newcastle United,per90_g_a,0.242,0.17,0.271
Newcastle United,per90_g_minus_pk,0.135,0.0,0.199
Newcastle United,per90_g_a_minus_pk,0.234,0.17,0.257
Nottingham Forest,minutes,1707.682,1939.0,1177.138
Nottingham Forest,min_90s,18.977,21.55,13.074
Nottingham Forest,gls,2.591,1.0,4.345
Nottingham Forest,ast,1.909,1.0,2.811
Nottingham Forest,g_plus_a,4.5,1.5,6.103
Nottingham Forest,g_minus_pk,2.455,1.0,3.811
Nottingham Forest,pk,0.136,0.0,0.625
Nottingham Forest,pkatt,0.136,0.0,0.625
Nottingham Forest,crdy,4.091,3.5,3.383
Nottingham Forest,crdr,0.091,0.0,0.287
Nottingham Forest,per90_gls,0.116,0.06,0.151
Nottingham Forest,per90_ast,0.086,0.05,0.103
Nottingham Forest,per90_g_a,0.201,0.145,0.196
Nottingham Forest,per90_g_minus_pk,0.112,0.06,0.138
Nottingham Forest,per90_g_a_minus_pk,0.197,0.145,0.186
Southampton,minutes,1244.567,1161.5,892.516
Southampton,min_90s,13.83,12.9,9.911
Southampton,gls,0.833,0.5,1.035
Southampton,ast,0.533,0.0,0.921
Southampton,g_plus_a,1.367,1.0,1.516
Southampton,g_minus_pk,0.833,0.5,1.035
Southampton,pk,0.0,0.0,0.0
Southampton,pkatt,0.067,0.0,0.249
Southampton,crdy,2.867,2.0,3.117
Southampton,crdr,0.1,0.0,0.396
Southampton,per90_gls,0.054,0.015,0.078
Southampton,per90_ast,0.041,0.0,0.094
Southampton,per90_g_a,0.096,0.06,0.124
Southampton,per90_g_minus_pk,0.054,0.015,0.078
Southampton,per90_g_a_minus_pk,0.096,0.06,0.124
Tottenham Hotspur,minutes,1387.778,1408.0,675.119
Tottenham Hotspur,min_90s,15.422,15.6,7.501
Tottenham Hotspur,gls,2.259,1.0,3.261
Tottenham Hotspur,ast,1.704,1.0,2.338
Tottenham Hotspur,g_plus_a,3.963,2.0,5.117
Tottenham Hotspur,g_minus_pk,2.148,1.0,3.147
Tottenham Hotspur,pk,0.111,0.0,0.314
Tottenham Hotspur,pkatt,0.148,0.0,0.448
Tottenham Hotspur,crdy,2.667,2.0,2.465
Tottenham Hotspur,crdr,0.037,0.0,0.189
Tottenham Hotspur,per90_gls,0.126,0.05,0.181
Tottenham Hotspur,per90_ast,0.106,0.07,0.135
Tottenham Hotspur,per90_g_a,0.233,0.13,0.261
Tottenham Hotspur,per90_g_minus_pk,0.12,0.05,0.177
Tottenham Hotspur,per90_g_a_minus_pk,0.227,0.13,0.257
West Ham United,minutes,1500.32,1160.0,959.055
West Ham United,min_90s,16.672,12.9,10.647
West Ham United,gls,1.72,0.0,3.092
West Ham United,ast,1.16,1.0,1.804
West Ham United,g_plus_a,2.88,1.0,4.581
West Ham United,g_minus_pk,1.6,0.0,2.912
West Ham United,pk,0.12,0.0,0.431
West Ham United,pkatt,0.12,0.0,0.431
West Ham United,crdy,3.28,2.0,2.864
West Ham United,crdr,0.12,0.0,0.325
West Ham United,per90_gls,0.088,0.0,0.123
West Ham United,per90_ast,0.078,0.04,0.132
West Ham United,per90_g_a,0.167,0.08,0.235
West Ham United,per90_g_minus_pk,0.084,0.0,0.119
West Ham United,per90_g_a_minus_pk,0.163,0.08,0.233
Wolves,minutes,1558.417,1387.0,945.685
Wolves,min_90s,17.312,15.45,10.502
Wolves,gls,2.208,1.0,3.894
Wolves,ast,1.75,1.0,2.296
Wolves,g_plus_a,3.958,2.0,5.511
Wolves,g_minus_pk,2.208,1.0,3.894
Wolves,pk,0.0,0.0,0.0
Wolves,pkatt,0.0,0.0,0.0
Wolves,crdy,3.292,2.5,2.922
Wolves,crdr,0.083,0.0,0.276
Wolves,per90_gls,0.113,0.065,0.151
Wolves,per90_ast,0.091,0.03,0.116
Wolves,per90_g_a,0.204,0.125,0.223
Wolves,per90_g_minus_pk,0.113,0.065,0.151
Wolves,per90_g_a_minus_pk,0.204,0.125,0.223
