squad,mean_ast,mean_crdr,mean_crdy,mean_g_plus_a,mean_gls,mean_minutes,mean_mp,mean_per90_ast,mean_per90_g_a,mean_per90_gls,mean_starts,median_ast,median_crdr,median_crdy,median_g_plus_a,median_gls,median_minutes,median_mp,median_per90_ast,median_per90_g_a,median_per90_gls,median_starts,std_ast,std_crdr,std_crdy,std_g_plus_a,std_gls,std_minutes,std_mp,std_per90_ast,std_per90_g_a,std_per90_gls,std_starts
Leicester City,0.9259259259259259,0.0,3.2222222222222223,2.1481481481481484,1.2222222222222223,1391.2222222222222,21.296296296296298,0.05555555555555555,0.1188888888888889,0.06407407407407407,15.481481481481481,0.0,0.0,3.0,1.0,0.0,1391.0,23.0,0.0,0.05,0.0,14.0,1.3846945213219115,0.0,2.70801280154532,3.0090083173914715,2.1543039806456377,890.90974822772,10.384214406102604,0.08491322871176442,0.140118997046558,0.09712241519218687,10.746628703459912
Liverpool,2.9545454545454546,0.13636363636363635,3.0454545454545454,6.818181818181818,3.8636363636363638,1704.4545454545455,26.40909090909091,0.14181818181818182,0.30500000000000005,0.16363636363636366,19.0,2.0,0.0,2.5,3.5,1.0,1823.5,30.5,0.135,0.175,0.06,21.0,3.92157976825512,0.3512500866571044,2.3999458868358383,10.358508642594323,6.664014624015385,1070.0106687172945,10.381572919218758,0.14204748916291754,0.33400527512230077,0.21907914322379254,12.9320568835006
Manchester City,2.04,0.08,2.36,4.88,2.84,1498.6,21.6,0.09960000000000001,0.276,0.17560000000000003,16.68,0.0,0.0,2.0,3.0,1.0,1674.0,26.0,0.0,0.27,0.12,19.0,2.6689573494781316,0.27688746209726917,1.7767010628315238,5.55517776493246,4.588754369833568,853.5777644714042,9.86154146165801,0.13538463723776045,0.24696490978814514,0.22289908030317218,9.60780932366999
Manchester Utd,0.9666666666666667,0.1,2.8666666666666667,2.3666666666666667,1.4,1248.6666666666667,19.233333333333334,0.04200000000000001,0.11466666666666668,0.07233333333333333,13.933333333333334,0.0,0.0,2.5,0.5,0.0,1113.0,20.5,0.0,0.015,0.0,12.0,2.1412747304501507,0.4025778999364487,2.6357402066177933,4.222136518589752,2.3430013172027437,956.9166840586934,11.810817173204002,0.08006032208537381,0.17653237142495862,0.11202473043879667,11.08255333872782
Newcastle United,2.1739130434782608,0.043478260869565216,2.9565217391304346,5.043478260869565,2.869565217391304,1632.0,25.17391304347826,0.1,0.2417391304347826,0.1426086956521739,18.17391304347826,1.0,0.0,2.0,2.0,0.0,1755.0,28.0,0.03,0.17,0.0,17.0,2.96421343105083,0.20851441405707477,3.3094665990096463,7.400726382466946,5.207550006970535,1131.2544123469952,10.696865190381047,0.12328828005937953,0.27749942135751376,0.2195908880230844,13.563494367110575
Nottingham Forest,1.9090909090909092,0.09090909090909091,4.090909090909091,4.5,2.590909090909091,1707.6818181818182,26.5,0.08590909090909092,0.20136363636363636,0.11636363636363636,19.0,1.0,0.0,3.5,1.5,1.0,1939.0,32.5,0.05,0.14500000000000002,0.06,20.5,2.8769873612958885,0.29424494316824984,3.462851713738547,6.246903995085048,4.447140235820799,1204.8389889016246,11.915376220505607,0.10549922549519773,0.20072002425898655,0.15472080706397617,14.438704598273022
Southampton,0.5333333333333333,0.1,2.8666666666666667,1.3666666666666667,0.8333333333333334,1244.5666666666666,19.6,0.04066666666666666,0.096,0.05400000000000001,13.9,0.0,0.0,2.0,1.0,0.5,1161.5,19.5,0.0,0.06,0.015,13.0,0.9371024061116424,0.4025778999364487,3.170264139254595,1.5421286974634216,1.0531834608931392,907.7739230680174,11.112589939902119,0.09573430665787663,0.12563219442428786,0.07946371976330262,10.476081130941521
Tottenham Hotspur,1.7037037037037037,0.037037037037037035,2.6666666666666665,3.962962962962963,2.259259259259259,1387.7777777777778,21.037037037037038,0.1062962962962963,0.23333333333333328,0.1262962962962963,15.444444444444445,1.0,0.0,2.0,2.0,1.0,1408.0,24.0,0.07,0.13,0.05,16.0,2.3828685817859694,0.19245008972987526,2.511511956509924,5.214487816735523,3.3234897390520173,687.9796694968722,9.30459556216704,0.13734146519779838,0.26566317598967887,0.1844565437283712,8.172812967080048
West Ham United,1.16,0.12,3.28,2.88,1.72,1500.32,23.48,0.078,0.1672,0.08839999999999999,16.72,1.0,0.0,2.0,1.0,0.0,1160.0,23.0,0.04,0.08,0.0,14.0,1.8411952639521967,0.33166247903553997,2.922898105191718,4.675467891024384,3.1559467676119004,978.8316045163233,9.238145557054908,0.13444329659748752,0.23938323528044592,0.12518919016166424,11.570508487817927
Wolves,1.75,0.08333333333333333,3.2916666666666665,3.9583333333333335,2.2083333333333335,1558.4166666666667,23.75,0.09125000000000001,0.20375,0.11333333333333333,17.333333333333332,1.0,0.0,2.5,2.0,1.0,1387.0,27.0,0.03,0.125,0.065,15.5,2.345207879911715,0.28232985128663995,2.9851686525317076,5.629728286490401,3.977973775971737,966.0245706059928,10.653637876331258,0.11847995611072785,0.22787892475572658,0.15392450624636875,11.860297916438132
